iter	Logloss
0	0.6567711008
1	0.6230805946
2	0.5921035741
3	0.5638495747
4	0.5385649422
5	0.5147348739
6	0.4942394165
7	0.475301014
8	0.4574773488
9	0.441462148
10	0.4260880642
11	0.4129775201
12	0.4004935924
13	0.3890839583
14	0.3792458467
15	0.3702033608
16	0.3619875733
17	0.3540113908
18	0.3472032133
19	0.3408565229
20	0.3348020804
21	0.3290236752
22	0.3243324531
23	0.3193713423
24	0.3149912418
25	0.311286915
26	0.3080111614
27	0.3045273358
28	0.3011357419
29	0.2982936252
30	0.2956271596
31	0.2930011708
32	0.2905471177
33	0.2883594348
34	0.2866723021
35	0.284672009
36	0.2827539518
37	0.2810951297
38	0.2796806804
39	0.2781934323
40	0.2768649673
41	0.2754756064
42	0.2742286045
43	0.2731346809
44	0.2720291666
45	0.2710871212
46	0.2701621245
47	0.2693560591
48	0.2684666399
49	0.267710932
50	0.2670300617
51	0.2665327998
52	0.2658925376
53	0.2653455594
54	0.2647413843
55	0.2642367899
56	0.2637755
57	0.2632604001
58	0.262774104
59	0.2623999985
60	0.2620150751
61	0.2616520177
62	0.2613271682
63	0.2609763261
64	0.2606807901
65	0.2604844731
66	0.260221358
67	0.2600370591
68	0.2597801749
69	0.2595316097
70	0.2593351283
71	0.2591251327
72	0.2589258564
73	0.2587510272
74	0.2585576202
75	0.2583747844
76	0.2582288907
77	0.2580553274
78	0.2579268936
79	0.2577724507
80	0.2576128455
81	0.2574591261
82	0.2573258258
83	0.2572336928
84	0.2570993896
85	0.2569613709
86	0.256888868
87	0.2567793408
88	0.2566845608
89	0.2565598754
90	0.2564667395
91	0.2563805744
92	0.2562899539
93	0.2562000404
94	0.2561262714
95	0.2560569744
96	0.2559793419
97	0.2559184789
98	0.2558810108
99	0.2558166624
100	0.2557398355
101	0.2556748788
102	0.2556091493
103	0.2555801974
104	0.2555005428
105	0.2554515005
106	0.2553971808
107	0.255327966
108	0.2552815871
109	0.2552451054
110	0.2552037903
111	0.2551395404
112	0.2550786774
113	0.2550215957
114	0.2549849332
115	0.2549307615
116	0.2548710657
117	0.2548294546
118	0.2547980859
119	0.2547613084
120	0.2547353816
121	0.2546934416
122	0.2546655584
123	0.2546358174
124	0.2546163682
125	0.2545834706
126	0.2545614073
127	0.2545382261
128	0.2545070054
129	0.2544716088
130	0.2544420158
131	0.2544249176
132	0.2543965904
133	0.2543805773
134	0.2543651725
135	0.254339295
136	0.2543161631
137	0.2542912556
138	0.2542580621
139	0.2542364756
140	0.2542156618
141	0.2541975278
142	0.2541736561
143	0.254149472
144	0.2541332452
145	0.2541057401
146	0.2540925218
147	0.2540738453
148	0.2540404709
149	0.2540084776
150	0.2539851484
151	0.2539626083
152	0.2539508533
153	0.2539369446
154	0.2539189257
155	0.2539027975
156	0.2538915357
157	0.2538788271
158	0.2538682229
159	0.2538545608
160	0.2538376928
161	0.253811059
162	0.2537941417
163	0.2537681162
164	0.2537371915
165	0.253720718
166	0.2537116099
167	0.2536981286
168	0.253683217
169	0.2536708373
170	0.2536497276
171	0.2536292262
172	0.2536128513
173	0.2535936652
174	0.253572539
175	0.2535621979
176	0.2535515279
177	0.2535389345
178	0.2535236776
179	0.25351429
180	0.2534707389
181	0.2534603978
182	0.253449695
183	0.2534305417
184	0.2534052396
185	0.2533947341
186	0.2533838175
187	0.253376485
188	0.2533362056
189	0.2533259302
190	0.2533088978
191	0.2533017626
192	0.253291405
193	0.253278121
194	0.2532660701
195	0.2532454371
196	0.2532033657
197	0.2531908708
198	0.2531789021
199	0.2531668018
200	0.2531319149
201	0.2531162964
202	0.2531056429
203	0.2530945619
204	0.253085947
205	0.2530781706
206	0.2530575213
207	0.253031989
208	0.2530233742
209	0.2530164527
210	0.252998253
211	0.2529810232
212	0.2529689065
213	0.2529602916
214	0.2529535674
215	0.2529370118
216	0.2529222975
217	0.252914817
218	0.2529068762
219	0.252888808
220	0.2528772174
221	0.2528670735
222	0.2528587217
223	0.2528274024
224	0.2528186067
225	0.2528064242
226	0.2527843281
227	0.252773839
228	0.2527670161
229	0.252757497
230	0.2527333623
231	0.252722495
232	0.2527071066
233	0.25268529
234	0.2526758531
235	0.2526674684
236	0.2526377603
237	0.2526148585
238	0.2526083974
239	0.2525998647
240	0.2525921376
241	0.2525698442
242	0.2525531241
243	0.2525399552
244	0.2525302882
245	0.2525223474
246	0.2525104937
247	0.2524885455
248	0.2524773166
249	0.2524693265
250	0.252461583
251	0.2524524749
252	0.2524411802
253	0.2524253479
254	0.2524175058
255	0.2524053397
256	0.2523967906
257	0.2523692362
258	0.2523604898
259	0.2523389033
260	0.2523303871
261	0.252315755
262	0.2523088499
263	0.2523001693
264	0.2522933629
265	0.2522765606
266	0.2522693268
267	0.2522608927
268	0.2522534287
269	0.2522466059
270	0.2522382705
271	0.2522321053
272	0.2522262195
273	0.2522201859
274	0.2522126396
275	0.2521987802
276	0.2521883569
277	0.2521806134
278	0.2521561662
279	0.2521494585
280	0.2521421917
281	0.2521366019
282	0.2521311436
283	0.2521181227
284	0.2521082748
285	0.2520893352
286	0.2520833344
287	0.2520714972
288	0.2520636879
289	0.2520550073
290	0.2520370049
291	0.2520311685
292	0.2520235893
293	0.252015517
294	0.2520067049
295	0.2519894423
296	0.2519690888
297	0.251964617
298	0.2519525331
299	0.251941929
300	0.2519298945
301	0.2519231374
302	0.2519113988
303	0.2518999233
304	0.251893906
305	0.2518740951
306	0.2518673874
307	0.2518615838
308	0.2518566188
309	0.2518454063
310	0.2518260722
311	0.2518189369
312	0.2518083328
313	0.2518021511
314	0.2517910537
315	0.2517807619
316	0.2517748433
317	0.2517588137
318	0.2517530595
319	0.2517476506
320	0.2517277246
321	0.2517193234
322	0.251714046
323	0.2517055134
324	0.2516996769
325	0.251690947
326	0.2516646585
327	0.2516551065
328	0.251638929
329	0.2516325007
330	0.2516238365
331	0.251612361
332	0.2516052916
333	0.251596874
