iter	Logloss
0	0.6573949049
1	0.6247486851
2	0.5942568257
3	0.567270144
4	0.5422148734
5	0.5187900769
6	0.4979800974
7	0.4790833398
8	0.4614189348
9	0.4454417933
10	0.4305462273
11	0.4172828616
12	0.4047851558
13	0.393490975
14	0.3836363072
15	0.3746501383
16	0.3658538899
17	0.3576349133
18	0.3502994837
19	0.34376289
20	0.337467136
21	0.3318472493
22	0.3265474791
23	0.3215259393
24	0.3170450611
25	0.3129254613
26	0.3090770093
27	0.3055637498
28	0.302390246
29	0.2994661816
30	0.2966493658
31	0.2939692631
32	0.2916077078
33	0.2894234289
34	0.2872197785
35	0.2854378198
36	0.2837503566
37	0.2821051087
38	0.2804801861
39	0.2790235553
40	0.2776242197
41	0.2764313108
42	0.275368325
43	0.2742093276
44	0.2730858099
45	0.2722120557
46	0.2712466275
47	0.2704088327
48	0.2696013287
49	0.2689013646
50	0.2681573123
51	0.2675538454
52	0.2669973129
53	0.2663461127
54	0.2658355631
55	0.2652497587
56	0.2646492422
57	0.2642058434
58	0.2636846986
59	0.2633111324
60	0.2629524584
61	0.2626090864
62	0.262204117
63	0.2618547807
64	0.2615389282
65	0.2612168037
66	0.2609681108
67	0.2607172267
68	0.2605165778
69	0.2602679749
70	0.2600134188
71	0.2597223772
72	0.2594412101
73	0.2593026319
74	0.2590858495
75	0.2588826157
76	0.2586798479
77	0.2584940811
78	0.2583470282
79	0.2582039165
80	0.2580893211
81	0.2579647391
82	0.2577947478
83	0.257698164
84	0.257530861
85	0.2573622154
86	0.2572337703
87	0.2571033841
88	0.2569753961
89	0.2568894443
90	0.2567835777
91	0.2566832376
92	0.2565600016
93	0.2564903725
94	0.2563881583
95	0.2562969639
96	0.2562274207
97	0.2561334337
98	0.2560448237
99	0.2560017402
100	0.2559197505
101	0.2558437795
102	0.2557875796
103	0.2557475612
104	0.2556947976
105	0.255639138
106	0.2555449622
107	0.2554805494
108	0.2554213707
109	0.2553541648
110	0.2552920308
111	0.2552590513
112	0.2552287368
113	0.2551747397
114	0.2551267044
115	0.255062528
116	0.2550139419
117	0.2549673296
118	0.2549060981
119	0.254849104
120	0.2547875303
121	0.2547115189
122	0.2546796851
123	0.2546312765
124	0.2545956228
125	0.2545523762
126	0.2545209309
127	0.2544888495
128	0.2544526781
129	0.2544059661
130	0.2543734364
131	0.2543423548
132	0.2543262357
133	0.2542941787
134	0.2542652427
135	0.2542297763
136	0.2541904616
137	0.2541538134
138	0.2541299316
139	0.2540906518
140	0.2540731258
141	0.2540389292
142	0.2540174742
143	0.2539779959
144	0.2539498679
145	0.253921978
146	0.2538985105
147	0.2538726374
148	0.2538525237
149	0.2538164261
150	0.2538014602
151	0.2537684798
152	0.2537252804
153	0.253690814
154	0.2536521677
155	0.2536278058
156	0.253614364
157	0.2535971576
158	0.253560024
159	0.2535286149
160	0.2535010204
161	0.2534890412
162	0.2534667439
163	0.2534187504
164	0.2533852767
165	0.253367043
166	0.2533334582
167	0.2533065606
168	0.2532864003
169	0.2532695558
170	0.2532594616
171	0.2532401646
172	0.2532031337
173	0.2531697657
174	0.2531436063
175	0.2531187244
176	0.2530922934
177	0.2530523263
178	0.2530310224
179	0.2530184291
180	0.2530000155
181	0.2529891458
182	0.2529785055
