iter	Passed	Remaining
0	20	30150
1	40	30439
2	60	30241
3	80	29987
4	101	30230
5	121	30153
6	141	30225
7	167	31253
8	190	31630
9	210	31390
10	230	31214
11	250	31073
12	270	30914
13	297	31609
14	317	31418
15	339	31445
16	358	31288
17	378	31141
18	398	31076
19	425	31465
20	445	31389
21	464	31175
22	482	31007
23	502	30873
24	522	30801
25	542	30730
26	561	30637
27	581	30558
28	600	30435
29	619	30373
30	639	30312
31	659	30257
32	677	30135
33	697	30073
34	717	30014
35	737	29978
36	756	29913
37	775	29850
38	794	29751
39	813	29680
40	831	29606
41	851	29565
42	871	29526
43	890	29460
44	909	29395
45	929	29368
46	948	29330
47	968	29292
48	987	29241
49	1006	29187
50	1025	29133
51	1044	29083
52	1062	29007
53	1080	28946
54	1100	28922
55	1120	28904
56	1142	28915
57	1161	28879
58	1179	28817
59	1199	28789
60	1218	28752
61	1237	28698
62	1256	28659
63	1274	28606
64	1294	28589
65	1314	28565
66	1334	28534
67	1359	28632
68	1379	28602
69	1397	28555
70	1417	28527
71	1436	28490
72	1456	28466
73	1474	28412
74	1493	28377
75	1512	28333
76	1532	28312
77	1551	28291
78	1571	28263
79	1589	28212
80	1608	28181
81	1628	28157
82	1647	28130
83	1666	28090
84	1684	28043
85	1704	28031
86	1723	28000
87	1745	28013
88	1766	28013
89	1785	27975
90	1805	27948
91	1824	27918
92	1844	27900
93	1862	27864
94	1882	27839
95	1901	27809
96	1923	27817
97	1942	27786
98	1963	27780
99	1982	27751
100	2001	27717
101	2021	27704
102	2042	27705
103	2063	27693
104	2082	27661
105	2101	27638
106	2121	27612
107	2141	27600
108	2161	27585
109	2180	27548
110	2198	27516
111	2218	27496
112	2238	27471
113	2257	27447
114	2276	27414
115	2295	27391
116	2314	27361
117	2333	27329
118	2352	27302
119	2372	27284
120	2392	27269
121	2412	27249
122	2431	27225
123	2451	27202
124	2469	27168
125	2489	27150
126	2509	27128
127	2529	27112
128	2548	27085
129	2571	27096
130	2591	27082
131	2611	27060
132	2630	27038
133	2651	27028
134	2671	27009
135	2690	26988
136	2709	26957
137	2731	26956
138	2752	26946
139	2771	26918
140	2789	26885
141	2808	26857
142	2827	26829
143	2847	26810
144	2866	26786
145	2885	26762
146	2905	26744
147	2926	26730
148	2944	26701
149	2964	26680
